Class: 8, Confidence: 0.87, Box: (233, 153, 24, 21), Color: Red
Class: 8, Confidence: 0.82, Box: (233, 145, 23, 21), Color: Red
Class: 8, Confidence: 0.96, Box: (232, 144, 25, 20), Color: Unknown
Class: 8, Confidence: 0.91, Box: (227, 138, 25, 21), Color: Red
Class: 8, Confidence: 0.81, Box: (227, 135, 24, 22), Color: Red
Class: 8, Confidence: 0.93, Box: (226, 124, 26, 22), Color: Red
Class: 8, Confidence: 0.90, Box: (223, 120, 27, 23), Color: Red
Class: 8, Confidence: 0.93, Box: (216, 121, 25, 29), Color: Red
Class: 8, Confidence: 0.89, Box: (218, 123, 25, 29), Color: Red
Class: 8, Confidence: 0.88, Box: (220, 131, 25, 22), Color: Red
Class: 8, Confidence: 0.91, Box: (216, 130, 27, 22), Color: Red
Class: 8, Confidence: 0.93, Box: (217, 132, 26, 22), Color: Red
Class: 8, Confidence: 0.86, Box: (217, 184, 25, 21), Color: Red
Class: 8, Confidence: 0.86, Box: (217, 184, 25, 21), Color: Red
Class: 8, Confidence: 0.86, Box: (217, 184, 25, 21), Color: Red
Class: 8, Confidence: 0.86, Box: (217, 184, 25, 21), Color: Red
Class: 8, Confidence: 0.86, Box: (217, 184, 25, 21), Color: Red
Class: 8, Confidence: 0.86, Box: (217, 184, 25, 21), Color: Red
Class: 7, Confidence: 0.91, Box: (309, 166, 25, 21), Color: Green
Class: 7, Confidence: 0.94, Box: (305, 186, 23, 20), Color: Green
Class: 7, Confidence: 0.97, Box: (299, 187, 26, 20), Color: Green
Class: 5, Confidence: 0.94, Box: (425, 189, 21, 23), Color: Red
Class: 7, Confidence: 0.89, Box: (295, 180, 26, 21), Color: Green
Class: 8, Confidence: 0.86, Box: (166, 177, 26, 21), Color: Blue
Class: 7, Confidence: 0.94, Box: (292, 179, 26, 22), Color: Green
Class: 8, Confidence: 0.93, Box: (162, 178, 26, 21), Color: Unknown
Class: 5, Confidence: 0.91, Box: (420, 176, 21, 25), Color: Red
Class: 7, Confidence: 0.94, Box: (291, 177, 26, 22), Color: Green
Class: 8, Confidence: 0.94, Box: (161, 178, 26, 21), Color: Blue
Class: 8, Confidence: 0.93, Box: (156, 175, 27, 21), Color: Blue
Class: 7, Confidence: 0.93, Box: (288, 175, 27, 21), Color: Green
Class: 5, Confidence: 0.98, Box: (418, 169, 21, 24), Color: Red
Class: 7, Confidence: 0.97, Box: (287, 172, 28, 20), Color: Green
Class: 8, Confidence: 0.87, Box: (154, 168, 25, 27), Color: Blue
Class: 7, Confidence: 0.96, Box: (284, 164, 29, 21), Color: Green
Class: 8, Confidence: 0.93, Box: (149, 166, 27, 22), Color: Blue
Class: 5, Confidence: 0.91, Box: (418, 163, 21, 25), Color: Red
Class: 7, Confidence: 0.98, Box: (285, 170, 28, 20), Color: Green
